,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,embark_Q,embark_S
0,0,3,1,-0.5904949280793784,1,0,-0.7228293143638498,0,1
1,1,1,0,0.6439710094454072,1,0,1.6316908534646186,0,0
2,1,3,0,-0.28187844369818205,0,0,-0.6980093985812146,0,1
3,1,1,0,0.4125086461595099,1,0,0.9630864465751504,0,1
4,0,3,1,0.4125086461595099,0,0,-0.6934131178807266,0,1
5,0,3,1,0.00352372718875205,0,0,-0.6783998266006526,1,0
6,0,1,1,1.878436946970193,0,0,0.9175832676403191,0,1
7,0,3,1,-2.1335773499853605,3,1,-0.21448066888987652,0,1
8,1,3,0,-0.20472432260288295,0,2,-0.5800394196102092,0,1
9,1,2,0,-1.2077278968417713,1,0,0.11629710651372341,0,0
10,1,3,0,-1.9792691077947624,1,1,-0.3753504934069567,0,1
11,1,1,0,2.1870534313513894,0,0,-0.013163574208501843,0,1
12,0,3,1,-0.7448031702699767,0,0,-0.6934131178807266,0,1
13,0,3,1,0.7211251305407064,1,5,0.16057583626994465,0,1
14,0,3,0,-1.2077278968417713,0,0,-0.7006127319699711,0,1
15,1,2,0,1.955591068065492,0,0,-0.4010896653296895,0,1
16,0,3,1,-2.1335773499853605,4,1,0.08151980822155103,1,0
17,1,2,1,0.00352372718875205,0,0,-0.5114004021414016,0,1
18,0,3,0,0.10389216177831348,1,0,-0.3275491741218814,0,1
19,1,3,0,0.00352372718875205,0,0,-0.7237485705039474,0,0
20,0,2,1,0.4125086461595099,0,0,-0.03338720929064909,0,1
21,1,2,1,0.3353545250642108,0,0,-0.5114004021414016,0,1
22,1,3,0,-1.1305737757464722,0,0,-0.6941779389892878,1,0
23,1,1,1,-0.12757020150758383,0,0,0.31593012394643927,0,1
24,0,3,0,-1.670652623413566,3,1,-0.21448066888987652,0,1
25,1,3,0,0.6439710094454072,1,5,0.1647124889003839,0,1
26,0,3,1,0.00352372718875205,0,0,-0.7237485705039474,0,0
27,0,1,1,-0.8219572913652758,3,2,2.6876109653982496,0,1
28,1,3,0,0.00352372718875205,0,0,-0.6996934758298734,1,0
29,0,3,1,0.00352372718875205,0,0,-0.6990830897528485,0,1
30,0,1,1,0.7982792516360054,0,0,0.029887029344549,0,0
31,1,1,0,0.00352372718875205,1,0,2.6876109653982496,0,0
32,1,3,0,0.00352372718875205,0,0,-0.7044441915618977,1,0
33,0,2,1,2.8042864001137824,0,0,-0.6033260161511617,0,1
34,0,1,1,-0.12757020150758383,1,0,2.032026902477124,0,0
35,0,1,1,0.9525874938266037,1,0,0.9226391764108559,0,1
36,1,3,1,0.00352372718875205,0,0,-0.723594135472411,0,0
37,0,3,1,-0.6676490491746776,0,0,-0.6934131178807266,0,1
38,0,3,0,-0.8991114124605749,2,0,-0.3275491741218814,0,1
39,1,3,0,-1.2077278968417713,1,0,-0.5760535249867461,0,0
40,0,3,0,0.7982792516360054,1,0,-0.6410155178951633,0,1
41,0,2,0,-0.20472432260288295,1,0,-0.21723843731016929,0,1
42,0,3,1,0.00352372718875205,0,0,-0.6990830897528485,0,0
43,1,2,0,-2.0564232288900617,1,2,0.5394638010216927,0,0
44,1,3,0,-0.8219572913652758,0,0,-0.6996934758298734,1,0
45,0,3,1,0.00352372718875205,0,0,-0.6934131178807266,0,1
46,0,3,1,0.00352372718875205,1,0,-0.4194747881316415,1,0
47,1,3,0,0.00352372718875205,0,0,-0.7044441915618977,1,0
48,0,3,1,0.00352372718875205,2,0,-0.1922640864959976,0,0
49,0,3,0,-0.8991114124605749,1,0,-0.3349032232426622,0,1
50,0,3,1,-1.747806744508865,4,1,0.46990552741278746,0,1
51,0,3,1,-0.6676490491746776,0,0,-0.7026056792817026,0,1
52,1,1,0,1.4926663414936974,1,0,1.83193793399892,0,0
53,1,2,0,-0.050416080412284736,1,0,-0.03338720929064909,0,1
54,0,1,1,2.7271322790184835,0,1,1.289576811341335,0,0
55,1,1,1,0.00352372718875205,0,0,0.31593012394643927,0,1
56,1,2,0,-0.6676490491746776,0,0,-0.6033260161511617,0,1
57,0,3,1,-0.08899314095993428,0,0,-0.723594135472411,0,0
58,1,2,0,-1.9021149866994633,1,2,0.030960720516182975,0,1
59,0,3,1,-1.4391902601276687,5,2,0.7351109238309452,0,1
60,0,3,1,-0.5904949280793784,0,0,-0.723594135472411,0,0
62,0,1,1,1.1840498571125009,1,0,2.079982656793735,0,1
63,0,3,1,-1.9792691077947624,3,2,0.03647625735676853,0,1
64,0,1,1,0.00352372718875205,0,0,0.029887029344549,0,0
65,1,3,1,0.00352372718875205,1,1,-0.42882178456415393,0,0
66,1,2,0,-0.050416080412284736,0,0,-0.6033260161511617,0,1
67,0,3,1,-0.8219572913652758,0,0,-0.6894309002818237,0,1
68,1,3,0,-0.976265533555874,4,2,-0.6980093985812146,0,1
69,0,3,1,-0.28187844369818205,2,0,-0.6708913424483353,0,1
70,0,2,1,0.18104628287361257,0,0,-0.6033260161511617,0,1
71,0,3,0,-1.0534196546511732,5,2,0.7351109238309452,0,1
72,0,2,1,-0.6676490491746776,0,0,1.7131994568947928,0,1
73,0,3,1,-0.28187844369818205,1,0,-0.45792911098420436,0,0
74,1,3,1,0.18104628287361257,0,0,1.087950846596888,0,1
75,0,3,1,-0.35903256479348117,0,0,-0.7081212161222883,0,1
76,0,3,1,0.00352372718875205,0,0,-0.6990830897528485,0,1
77,0,3,1,0.00352372718875205,0,0,-0.6934131178807266,0,1
78,1,2,1,-2.2238476716668605,0,2,0.07692352752106303,0,1
79,1,3,0,0.026738040683014372,0,0,-0.5307047810834512,0,1
80,0,3,1,-0.5904949280793784,0,0,-0.6584813845570178,0,1
81,1,3,1,-0.050416080412284736,0,0,-0.6400962617550657,0,1
82,1,3,0,0.00352372718875205,0,0,-0.7030653073517513,1,0
83,0,1,1,-0.12757020150758383,0,0,0.7424649729517262,0,1
84,1,2,0,-0.976265533555874,0,0,-0.6033260161511617,0,1
85,1,3,0,0.2582004039689117,3,0,-0.4066052021702751,0,1
86,0,3,1,-1.0534196546511732,1,3,0.27456359764204724,0,1
87,0,3,1,0.00352372718875205,0,0,-0.6934131178807266,0,1
88,1,1,0,-0.5133408069840794,3,2,2.6876109653982496,0,1
89,0,3,1,-0.4361866858887803,0,0,-0.6934131178807266,0,1
90,0,3,1,-0.050416080412284736,0,0,-0.6934131178807266,0,1
91,0,3,1,-0.7448031702699767,0,0,-0.7006127319699711,0,1
92,0,1,1,1.2612039782078002,1,0,1.2600061798266753,0,1
93,0,3,1,-0.28187844369818205,1,2,-0.23286579169182853,0,1
94,0,3,1,2.2642075524466883,0,0,-0.7228293143638498,0,1
95,0,3,1,0.00352372718875205,0,0,-0.6934131178807266,0,1
96,0,1,1,3.190057005590278,0,0,0.28482985021465734,0,0
97,1,1,1,-0.5133408069840794,0,1,1.340286657053679,0,0
98,1,2,0,0.3353545250642108,0,1,-0.1436979461023612,0,1
99,0,2,1,0.3353545250642108,1,0,-0.03338720929064909,0,1
100,0,3,0,-0.12757020150758383,0,0,-0.6990830897528485,0,1
101,0,3,1,0.00352372718875205,0,0,-0.6990830897528485,0,1
102,0,1,1,-0.6676490491746776,0,1,1.8524667621195792,0,1
103,0,3,1,0.2582004039689117,0,0,-0.6711965354868478,0,1
104,0,3,1,0.5668168883501081,2,0,-0.6980093985812146,0,1
105,0,3,1,-0.12757020150758383,0,0,-0.6990830897528485,0,1
106,1,3,0,-0.6676490491746776,0,0,-0.7081212161222883,0,1
107,1,3,1,0.00352372718875205,0,0,-0.7035249354218003,0,1
108,0,3,1,0.6439710094454072,0,0,-0.6990830897528485,0,1
109,1,3,0,0.00352372718875205,1,0,-0.10141216365787162,1,0
110,0,1,1,1.3383580993030992,0,0,0.9226391764108559,0,1
111,0,3,0,-1.1691508362941219,1,0,-0.45792911098420436,0,0
112,0,3,1,-0.5904949280793784,0,0,-0.6934131178807266,0,1
113,0,3,0,-0.7448031702699767,1,0,-0.628145931933797,0,1
114,0,3,0,-0.976265533555874,0,0,-0.45777835297722835,0,0
115,0,3,1,-0.6676490491746776,0,0,-0.6980093985812146,0,1
116,0,3,1,3.1514799450426283,0,0,-0.7044441915618977,1,0
117,0,2,1,-0.050416080412284736,1,0,-0.21723843731016929,0,1
118,0,1,1,-0.4361866858887803,0,1,2.6876109653982496,0,0
119,0,3,0,-2.1335773499853605,4,2,0.16057583626994465,0,1
120,0,2,1,-0.6676490491746776,2,0,1.7131994568947928,0,1
121,0,3,1,0.00352372718875205,0,0,-0.6934131178807266,0,1
122,0,2,1,0.21962334342126213,1,0,0.11629710651372341,0,0
123,1,2,0,0.21962334342126213,0,0,-0.5114004021414016,0,1
124,0,1,1,1.878436946970193,0,1,1.8524667621195792,0,1
125,1,3,1,-1.3620361390323696,1,0,-0.5760535249867461,0,0
126,0,3,1,0.00352372718875205,0,0,-0.7044441915618977,1,0
127,1,3,1,-0.4361866858887803,0,0,-0.7268115319627526,0,1
128,1,3,0,0.00352372718875205,1,1,-0.16729341270638642,0,0
129,0,3,1,1.1840498571125009,0,0,-0.7329411319049234,0,1
130,0,3,1,0.2582004039689117,0,0,-0.6990830897528485,0,0
131,0,3,1,-0.7448031702699767,0,0,-0.7301833634846306,0,1
132,0,3,0,1.3383580993030992,1,0,-0.45624503373554554,0,1
133,1,2,0,-0.050416080412284736,1,0,-0.03338720929064909,0,1
134,0,2,1,-0.35903256479348117,0,0,-0.5114004021414016,0,1
135,0,2,1,-0.5133408069840794,0,0,-0.43617583368493473,0,0
136,1,1,0,-0.8219572913652758,0,2,-0.022970198711063056,0,1
137,0,1,1,0.5668168883501081,1,0,0.9630864465751504,0,1
138,0,3,1,-1.0534196546511732,0,0,-0.6505132723346517,0,1
139,0,1,1,-0.4361866858887803,0,0,1.9227898568370458,0,0
140,0,3,0,0.00352372718875205,0,2,-0.42882178456415393,0,0
141,1,3,0,-0.5904949280793784,0,0,-0.7044441915618977,0,1
142,1,3,0,-0.4361866858887803,1,0,-0.4066052021702751,0,1
143,0,3,1,-0.8219572913652758,0,0,-0.7412144371658018,1,0
144,0,2,1,-0.8991114124605749,0,0,-0.5665557705472577,0,1
145,0,2,1,-0.8219572913652758,1,1,0.3618929309513193,0,1
146,1,3,1,-0.20472432260288295,0,0,-0.702760114313239,0,1
147,0,3,0,-1.5934985023182668,2,2,0.27456359764204724,0,1
148,0,2,1,0.5282398278024586,0,2,-0.03338720929064909,0,1
149,0,2,1,0.9525874938266037,0,0,-0.5114004021414016,0,1
150,0,2,1,1.6469745836842955,0,0,-0.528866268803256,0,1
151,1,1,0,-0.5904949280793784,1,0,1.4594847622278546,0,1
152,0,3,1,1.9941681286131416,0,0,-0.6934131178807266,0,1
153,0,3,1,0.836856312183655,0,2,-0.45624503373554554,0,1
154,0,3,1,0.00352372718875205,0,0,-0.7205311740136058,0,1
